Nome,Quantidade,Categoria,Preço
Leite Integral,2L,Laticínios,5.50
Pão Francês,6un,Padaria,1.20
Arroz Branco,5kg,Mercearia,25.90
Feijão Preto,1kg,Mercearia,8.50
Carne Moída,1kg,Carnes,28.00
Frango Inteiro,1kg,Carnes,12.90
Queijo Mussarela,500g,Laticínios,24.50
Presunto,300g,Frios,15.00
Banana Prata,1kg,Frutas,6.90
Tomate,1kg,Verduras,5.50
Alface,1un,Verduras,3.50
Batata,2kg,Legumes,9.80
Detergente,3un,Limpeza,3.50
Sabão em Pó,1kg,Limpeza,12.90
Amaciante,2L,Limpeza,8.50
Shampoo,400ml,Higiene,12.90
Sabonete,4un,Higiene,8.00
Pasta de Dente,1un,Higiene,6.50
Refrigerante,2L,Bebidas,6.50
Suco,1L,Bebidas,5.90
Café,500g,Mercearia,18.90
Açúcar,1kg,Mercearia,4.50
Sal,1kg,Mercearia,2.50
Óleo de Soja,900ml,Mercearia,7.90
Macarrão,500g,Mercearia,4.20
